"GEOID","Year","edd","gdd","ppt","tavg","tmax","east_dummy"
11001,2016,197.520251268979,2547.52633379588,592.606825146311,21.9567864256934,26.794965567901,1
32510,2016,147.383298049292,1565.76045497935,68.9556067404567,16.5164468211989,25.8000850974274,0
1043,2016,268.443500804199,2736.91926908613,531.226616737758,23.0380148123992,29.2713406930339,1
1059,2016,301.69839697525,2811.94019240829,543.385433057611,23.4502443986671,29.6652093731132,1
1023,2016,457.735562512766,3107.00500895982,554.829514458424,25.0755130693571,31.3705647705239,1
1109,2016,409.168754656473,3086.94911270342,632.206799275014,24.9612602518302,31.0634757478767,1
1075,2016,462.275200823171,2997.35117741084,447.861368218282,24.469018771273,31.0648491053431,1
1073,2016,380.408218361655,2981.65105987756,527.792846388212,24.3830125527141,30.4658153556692,1
1079,2016,290.89629949206,2800.59551797179,504.97010601316,23.3878874300318,29.5278791249972,1
1017,2016,398.152718237457,2886.62165076746,402.367873166742,23.8607083375285,30.6743057086106,1
1053,2016,304.325531178595,3038.87244760923,903.291550669453,24.6978023653133,30.4054059029915,1
1057,2016,402.421607860337,2901.08693453199,565.959124159623,23.9400380751973,30.5985218795017,1
1045,2016,399.673859034861,3149.11027797862,714.526166791532,25.3040221273343,31.0699998520155,1
1083,2016,305.956852804332,2805.75530506183,511.194178493111,23.4162699682887,29.5677272771117,1
1001,2016,503.436454174664,3121.17376826492,652.00855016259,25.1522172746699,31.5150863127201,1
1037,2016,379.673840000944,2945.40275701805,501.514600039467,24.1838486012079,30.4961105530347,1
1007,2016,471.135766370081,3050.96705152672,514.124172135253,24.7643893104212,31.2852446701895,1
1131,2016,440.885243148456,3072.7686125082,636.137238948159,24.8834611852763,31.2236786401757,1
1119,2016,469.09555128139,3100.25573663718,468.882887568376,25.0399757454197,31.2000851636481,1
1087,2016,437.093367254564,3055.85193858206,539.18645718817,24.7907318477272,31.1180955001671,1
1089,2016,282.014540141487,2755.08445529804,447.103186260349,23.1378152223135,29.3346880168033,1
1027,2016,300.025969608878,2789.07553897386,444.165175642851,23.3245909989914,29.792262414136,1
1047,2016,482.716325233798,3114.21514484669,580.977760513707,25.1130419524236,31.4368182185383,1
1009,2016,319.985419640619,2863.52242647462,475.326523698895,23.7336398538604,29.7688212307349,1
1121,2016,442.588904495486,2955.50426332965,479.047739777368,24.2423437938882,30.9726191078302,1
1111,2016,335.443136959588,2811.16157970461,412.515632596622,23.4462477789836,30.108541349184,1
1031,2016,388.285617867417,3107.60766541178,747.774738724955,25.0747762079494,31.0169018352525,1
1025,2016,388.030829180706,3058.68630193845,710.945087326059,24.8070220258873,30.9690078001788,1
1055,2016,348.141096449823,2857.96744485151,473.960243882827,23.7034670232639,30.0080825950477,1
1015,2016,369.638829280554,2885.14972846139,426.770945865,23.8527554741441,30.3290073153527,1
1041,2016,418.688312685483,3067.37066563927,671.746965434805,24.853685139656,31.1640426724148,1
1035,2016,339.951612643638,3040.0293231058,776.54679217881,24.7034585060077,30.6975222663135,1
1039,2016,438.610658502441,3157.52940188534,728.989220727784,25.3519700594452,31.4457096950835,1
1115,2016,360.998392476499,2894.59715478891,468.97837975066,23.9045545149658,30.2359845325618,1
1077,2016,291.068123961367,2789.22861285915,519.56024215688,23.3254319648932,29.5172290589283,1
1127,2016,376.335920547668,2878.02087282874,615.729938303156,23.8133014838283,30.4092171461902,1
1071,2016,284.028830881662,2703.38798297639,377.583378732125,22.8507257189801,29.3540950155034,1
1061,2016,383.051868032619,3115.89371369649,774.479668009884,25.1205558902023,31.0262149894528,1
1019,2016,429.498906840239,2854.17137589942,419.503286772338,23.6822283791875,30.6537123210907,1
1125,2016,417.097702479082,3026.79565317767,566.935435159824,24.6307489055708,30.8157436651646,1
1101,2016,510.470367309941,3185.90322238188,591.124245885552,25.5107733068689,31.6240513579558,1
1123,2016,399.836558332795,2943.96045417281,476.314866186183,24.1756421385401,30.6794580914075,1
1013,2016,411.38349683203,3053.45166069471,706.610436629682,24.7772098052152,31.1377616282369,1
1103,2016,290.888139065896,2793.1350304509,491.813680311833,23.3468968585609,29.4477257339564,1
1003,2016,228.710549812776,3131.54291758704,1009.50268471452,25.2063265664774,29.9467344278505,1
1063,2016,460.609732063776,3090.55397538794,473.633530752063,24.9841025989834,31.1534477071571,1
1091,2016,449.304453971291,3092.15708075047,567.339967641636,24.9918391396742,31.1664800388701,1
1099,2016,304.865986581712,3021.5806362233,742.597144428839,24.6020914102611,30.4264905577315,1
1133,2016,260.957916522379,2748.8007549372,556.298258458705,23.1033008158492,29.2826117295297,1
1085,2016,503.456890158299,3158.6884585851,592.326000804312,25.3582291351531,31.6078990680079,1
